Katalogid,DersAdi,Fakulte,alan_grubu,AKTSKredi,model_tahmin_akts,kural_akts,adaptif_akts_50_50,adaptif_akts_60_40,adaptif_akts_70_30,adaptif_akts_80_20,adaptif_akts,sapma,sapma_yuzde,karar,gerekce,K_bilissel,K_profil,K_etkinlik
219207,Kütle ve Enerji Bilançosu,Mühendislik,STEM,4,4.0949,3.9548,4.0248,4.0389,4.0529,4.0669,4.0529,0.0529,1.32,Güçlü uyum,"AKTS_mevcut=4.0 | model_tahmin=4.09 | kural_akts=3.95 (K_bilissel=1.00, K_profil=1.00, K_etkinlik=0.99) | adaptif=4.05 | sapma=+1.3%",1.0,1.0,0.9887
219206,Çözelti Termodinamiği,Mühendislik,STEM,4,4.1895,3.9548,4.0722,4.0956,4.1191,4.1426,4.1191,0.1191,2.98,Güçlü uyum,"AKTS_mevcut=4.0 | model_tahmin=4.19 | kural_akts=3.95 (K_bilissel=1.00, K_profil=1.00, K_etkinlik=0.99) | adaptif=4.12 | sapma=+3.0%",1.0,1.0,0.9887
219205,Malzeme II,Mühendislik,STEM,4,4.1118,3.9548,4.0333,4.049,4.0647,4.0804,4.0647,0.0647,1.62,Güçlü uyum,"AKTS_mevcut=4.0 | model_tahmin=4.11 | kural_akts=3.95 (K_bilissel=1.00, K_profil=1.00, K_etkinlik=0.99) | adaptif=4.06 | sapma=+1.6%",1.0,1.0,0.9887
219204,Statik-Mukavemet,Mühendislik,STEM,4,4.1807,4.6963,4.4385,4.3869,4.3354,4.2838,4.3354,0.3354,8.38,Güçlü uyum,"AKTS_mevcut=4.0 | model_tahmin=4.18 | kural_akts=4.70 (K_bilissel=1.19, K_profil=1.00, K_etkinlik=0.99) | adaptif=4.34 | sapma=+8.4%",1.1875,1.0,0.9887
219211,Kimyasal Metalurji,Mühendislik,STEM,4,4.1258,4.3503,4.238,4.2156,4.1931,4.1707,4.1931,0.1931,4.83,Güçlü uyum,"AKTS_mevcut=4.0 | model_tahmin=4.13 | kural_akts=4.35 (K_bilissel=1.10, K_profil=1.00, K_etkinlik=0.99) | adaptif=4.19 | sapma=+4.8%",1.1,1.0,0.9887
215228,Çevre ve Jeolojik Uygulamalar için Uzaktan Algılama,Mühendislik,STEM,5,4.233,5.6156,4.9243,4.786,4.6478,4.5095,4.6478,-0.3522,-7.04,Güçlü uyum,"AKTS_mevcut=5.0 | model_tahmin=4.23 | kural_akts=5.62 (K_bilissel=1.05, K_profil=1.05, K_etkinlik=1.02) | adaptif=4.65 | sapma=-7.0%",1.05,1.05,1.0187
227196,Yakın Resim Fotogrametrisi,Mühendislik,STEM,4,4.4096,4.0748,4.2422,4.2757,4.3092,4.3426,4.3092,0.3092,7.73,Güçlü uyum,"AKTS_mevcut=4.0 | model_tahmin=4.41 | kural_akts=4.07 (K_bilissel=1.00, K_profil=1.00, K_etkinlik=1.02) | adaptif=4.31 | sapma=+7.7%",1.0,1.0,1.0187
227198,Dengeleme Hesabı II,Mühendislik,STEM,5,4.3688,5.8066,5.0877,4.9439,4.8001,4.6564,4.8001,-0.1999,-4.0,Güçlü uyum,"AKTS_mevcut=5.0 | model_tahmin=4.37 | kural_akts=5.81 (K_bilissel=1.14, K_profil=1.00, K_etkinlik=1.02) | adaptif=4.80 | sapma=-4.0%",1.14,1.0,1.0187
9502014,Sayısal Yöntemler,Mühendislik,STEM,3,3.7326,3.5834,3.658,3.6729,3.6878,3.7028,3.6878,0.6878,22.93,Kabul edilebilir,"AKTS_mevcut=3.0 | model_tahmin=3.73 | kural_akts=3.58 (K_bilissel=1.12, K_profil=1.05, K_etkinlik=1.02) | adaptif=3.69 | sapma=+22.9%",1.1167,1.05,1.0187
9502013,Sayısal Çözümleme,Mühendislik,STEM,5,4.8221,6.4722,5.6472,5.4821,5.3171,5.1521,5.3171,0.3171,6.34,Güçlü uyum,"AKTS_mevcut=5.0 | model_tahmin=4.82 | kural_akts=6.47 (K_bilissel=1.20, K_profil=1.00, K_etkinlik=1.08) | adaptif=5.32 | sapma=+6.3%",1.2,1.0,1.0787
